Based on Quarterly Estimates of GDP for April - June 2025 (Second Preliminary Estimates）,,GDP Gap,,Potential GDP Growth Rate,Total Factor Productivity (TFP),Capital Input,Hours Worked,Number of Employed
,,0.0,※,-,-,-,-,-
,,-1.5,,4.2,1.8,1.7,0.0,0.7
,Ⅲ,-0.5,,4.2,1.8,1.7,0.0,0.7
,Ⅳ,0.4,,4.2,1.8,1.7,0.0,0.7
1981,Ⅰ,0.3,,4.2,1.8,1.7,0.0,0.7
,Ⅱ,0.2,,4.2,1.7,1.7,0.0,0.7
,Ⅲ,-0.4,,4.2,1.7,1.7,0.0,0.7
,Ⅳ,-0.9,,4.1,1.7,1.7,0.0,0.7
1982,Ⅰ,-0.6,,4.1,1.7,1.7,0.0,0.7
,Ⅱ,-0.9,,4.1,1.7,1.7,0.0,0.7
,Ⅲ,-1.5,,4.1,1.7,1.7,0.0,0.7
,Ⅳ,-1.1,,4.1,1.7,1.7,0.0,0.7
1983,Ⅰ,-1.4,,4.1,1.7,1.7,0.0,0.7
,Ⅱ,-1.7,,4.1,1.8,1.6,0.0,0.7
,Ⅲ,-1.4,,4.2,1.8,1.6,0.0,0.7
,Ⅳ,-1.7,,4.2,1.8,1.6,0.0,0.7
1984,Ⅰ,-1.8,,4.2,1.8,1.6,0.0,0.7
,Ⅱ,-0.7,,4.2,1.8,1.7,0.0,0.6
,Ⅲ,-1.0,,4.2,1.9,1.7,0.0,0.6
,Ⅳ,-1.7,,4.3,1.9,1.7,0.0,0.6
1985,Ⅰ,-1.4,,4.3,1.9,1.7,0.0,0.6
,Ⅱ,-0.6,,4.3,1.9,1.7,0.0,0.6
,Ⅲ,-0.2,,4.3,1.9,1.7,0.0,0.6
,Ⅳ,0.3,,4.3,1.9,1.7,0.0,0.6
1986,Ⅰ,-0.7,,4.3,1.9,1.8,-0.1,0.7
,Ⅱ,-1.5,,4.4,1.9,1.8,-0.1,0.7
,Ⅲ,-1.8,,4.4,1.9,1.8,-0.1,0.7
,Ⅳ,-1.8,,4.4,1.9,1.9,-0.1,0.7
1987,Ⅰ,-2.5,,4.4,1.9,1.9,-0.2,0.7
,Ⅱ,-1.9,,4.4,1.9,1.9,-0.2,0.7
,Ⅲ,-1.1,,4.4,1.9,2.0,-0.2,0.8
,Ⅳ,0.3,,4.4,1.9,2.0,-0.3,0.8
1988,Ⅰ,0.7,,4.4,1.9,2.0,-0.3,0.8
,Ⅱ,0.4,,4.4,1.9,2.1,-0.4,0.8
,Ⅲ,1.2,,4.3,1.8,2.1,-0.5,0.8
,Ⅳ,1.2,,4.3,1.8,2.1,-0.5,0.9
1989,Ⅰ,2.6,,4.2,1.8,2.2,-0.6,0.9
,Ⅱ,0.3,,4.1,1.8,2.2,-0.7,0.9
,Ⅲ,0.9,,4.0,1.7,2.2,-0.7,0.9
,Ⅳ,2.6,,3.9,1.7,2.2,-0.8,0.9
1990,Ⅰ,1.1,,3.8,1.6,2.2,-0.9,0.9
,Ⅱ,2.7,,3.7,1.6,2.2,-0.9,0.9
,Ⅲ,3.8,,3.6,1.6,2.1,-1.0,0.9
,Ⅳ,2.9,,3.4,1.5,2.1,-1.0,0.8
1991,Ⅰ,3.2,,3.3,1.5,2.0,-1.0,0.8
,Ⅱ,3.3,,3.1,1.4,2.0,-1.1,0.8
,Ⅲ,2.5,,3.0,1.4,1.9,-1.1,0.8
,Ⅳ,2.6,,2.8,1.3,1.9,-1.1,0.7
1992,Ⅰ,1.8,,2.7,1.3,1.8,-1.1,0.7
,Ⅱ,1.4,,2.5,1.3,1.7,-1.0,0.6
,Ⅲ,1.2,,2.4,1.2,1.6,-1.0,0.6
,Ⅳ,0.0,,2.3,1.2,1.5,-1.0,0.6
1993,Ⅰ,0.0,※,2.2,1.1,1.5,-0.9,0.5
,Ⅱ,-1.4,,2.1,1.1,1.4,-0.9,0.5
,Ⅲ,-2.3,,2.0,1.1,1.3,-0.8,0.5
,Ⅳ,-2.4,,1.9,1.1,1.2,-0.8,0.4
1994,Ⅰ,-1.7,,1.9,1.1,1.2,-0.7,0.4
,Ⅱ,-2.7,,1.8,1.0,1.1,-0.7,0.4
,Ⅲ,-2.0,,1.8,1.0,1.0,-0.6,0.4
,Ⅳ,-2.8,,1.7,1.0,1.0,-0.6,0.3
1995,Ⅰ,-2.1,,1.7,1.0,1.0,-0.5,0.3
,Ⅱ,-1.6,,1.6,0.9,0.9,-0.5,0.3
,Ⅲ,-0.8,,1.6,0.9,0.9,-0.5,0.3
,Ⅳ,-1.0,,1.5,0.9,0.9,-0.5,0.3
1996,Ⅰ,-0.5,,1.5,0.8,0.8,-0.4,0.3
,Ⅱ,0.4,,1.4,0.8,0.8,-0.4,0.2
,Ⅲ,0.2,,1.3,0.8,0.8,-0.4,0.2
,Ⅳ,1.0,,1.3,0.7,0.8,-0.4,0.2
1997,Ⅰ,0.9,,1.2,0.7,0.8,-0.4,0.2
,Ⅱ,-0.1,,1.1,0.7,0.7,-0.4,0.2
,Ⅲ,-0.2,,1.1,0.7,0.7,-0.4,0.1
,Ⅳ,-0.4,,1.0,0.6,0.7,-0.4,0.1
1998,Ⅰ,-1.9,,1.0,0.7,0.7,-0.4,0.1
,Ⅱ,-2.5,,0.9,0.7,0.7,-0.4,0.0
,Ⅲ,-2.5,,0.9,0.7,0.6,-0.4,0.0
,Ⅳ,-2.0,,0.9,0.7,0.6,-0.4,0.0
1999,Ⅰ,-3.6,,0.9,0.8,0.6,-0.4,-0.1
,Ⅱ,-3.4,,0.9,0.8,0.6,-0.4,-0.1
,Ⅲ,-3.1,,0.9,0.8,0.5,-0.4,-0.1
,Ⅳ,-3.3,,0.9,0.9,0.5,-0.3,-0.2
2000,Ⅰ,-1.8,,0.9,0.9,0.5,-0.3,-0.2
,Ⅱ,-1.6,,0.9,1.0,0.5,-0.3,-0.2
,Ⅲ,-1.8,,0.9,1.0,0.5,-0.3,-0.2
,Ⅳ,-1.1,,0.9,1.0,0.4,-0.3,-0.2
2001,Ⅰ,-0.6,,0.9,1.1,0.4,-0.3,-0.3
,Ⅱ,-1.6,,0.9,1.1,0.4,-0.3,-0.3
,Ⅲ,-2.8,,0.9,1.1,0.4,-0.3,-0.3
,Ⅳ,-3.4,,0.9,1.1,0.3,-0.3,-0.3
2002,Ⅰ,-3.5,,0.9,1.1,0.3,-0.3,-0.3
,Ⅱ,-2.9,,1.0,1.2,0.3,-0.2,-0.3
,Ⅲ,-2.8,,1.0,1.2,0.3,-0.2,-0.3
,Ⅳ,-2.8,,1.0,1.1,0.3,-0.2,-0.2
2003,Ⅰ,-3.0,,1.0,1.1,0.3,-0.2,-0.2
,Ⅱ,-2.6,,1.0,1.1,0.3,-0.2,-0.2
,Ⅲ,-2.5,,1.0,1.1,0.3,-0.2,-0.2
,Ⅳ,-1.7,,1.0,1.0,0.3,-0.2,-0.2
2004,Ⅰ,-1.2,,0.9,1.0,0.3,-0.2,-0.2
,Ⅱ,-1.4,,0.9,1.0,0.3,-0.2,-0.1
,Ⅲ,-1.0,,0.9,0.9,0.3,-0.2,-0.1
,Ⅳ,-1.4,,0.8,0.9,0.2,-0.2,-0.1
2005,Ⅰ,-1.1,,0.8,0.8,0.2,-0.2,-0.1
,Ⅱ,-0.5,,0.7,0.8,0.2,-0.2,-0.1
,Ⅲ,0.3,,0.7,0.7,0.2,-0.2,0.0
,Ⅳ,0.4,,0.6,0.7,0.2,-0.3,0.0
2006,Ⅰ,0.4,,0.6,0.6,0.2,-0.3,0.0
,Ⅱ,0.4,,0.5,0.6,0.2,-0.3,0.0
,Ⅲ,0.1,,0.4,0.6,0.2,-0.3,0.0
,Ⅳ,1.3,,0.4,0.6,0.2,-0.4,0.0
2007,Ⅰ,1.9,,0.3,0.5,0.2,-0.4,0.0
,Ⅱ,1.9,,0.2,0.5,0.2,-0.4,0.0
,Ⅲ,1.3,,0.2,0.5,0.1,-0.4,0.0
,Ⅳ,1.7,,0.1,0.5,0.1,-0.4,-0.1
2008,Ⅰ,2.1,,0.1,0.5,0.1,-0.4,-0.1
,Ⅱ,1.4,,0.1,0.6,0.0,-0.5,-0.1
,Ⅲ,0.2,,0.1,0.6,0.0,-0.4,-0.1
,Ⅳ,-2.3,,0.1,0.6,0.0,-0.4,-0.1
2009,Ⅰ,-7.0,,0.1,0.7,-0.1,-0.4,-0.1
,Ⅱ,-5.2,,0.1,0.7,-0.1,-0.4,-0.1
,Ⅲ,-5.3,,0.2,0.8,-0.1,-0.3,-0.1
,Ⅳ,-4.2,,0.2,0.8,-0.2,-0.3,-0.2
2010,Ⅰ,-3.3,,0.3,0.9,-0.2,-0.3,-0.2
,Ⅱ,-2.2,,0.3,0.9,-0.2,-0.2,-0.2
,Ⅲ,-0.5,,0.4,1.0,-0.2,-0.2,-0.2
,Ⅳ,-1.4,,0.4,1.0,-0.2,-0.2,-0.2
2011,Ⅰ,-2.6,,0.5,1.0,-0.2,-0.2,-0.2
,Ⅱ,-3.5,,0.5,1.0,-0.2,-0.2,-0.1
,Ⅲ,-1.3,,0.5,1.1,-0.2,-0.1,-0.1
,Ⅳ,-1.6,,0.6,1.1,-0.2,-0.1,-0.1
2012,Ⅰ,-0.4,,0.6,1.1,-0.2,-0.1,-0.1
,Ⅱ,-1.5,,0.7,1.1,-0.2,-0.1,-0.1
,Ⅲ,-2.0,,0.7,1.0,-0.2,-0.1,0.0
,Ⅳ,-2.3,,0.7,1.0,-0.1,-0.2,0.0
2013,Ⅰ,-1.1,,0.7,1.0,-0.1,-0.2,0.0
,Ⅱ,-0.4,,0.8,1.0,-0.1,-0.2,0.1
,Ⅲ,0.4,,0.8,0.9,-0.1,-0.2,0.1
,Ⅳ,0.1,,0.8,0.9,0.0,-0.2,0.1
2014,Ⅰ,0.7,,0.8,0.9,0.0,-0.2,0.2
,Ⅱ,-1.3,,0.8,0.8,0.0,-0.2,0.2
,Ⅲ,-1.4,,0.8,0.8,0.0,-0.2,0.2
,Ⅳ,-1.2,,0.8,0.7,0.1,-0.3,0.3
2015,Ⅰ,0.1,,0.8,0.7,0.1,-0.3,0.3
,Ⅱ,0.1,,0.8,0.6,0.1,-0.3,0.3
,Ⅲ,0.0,※,0.8,0.6,0.1,-0.3,0.4
,Ⅳ,-0.4,,0.8,0.6,0.2,-0.4,0.4
2016,Ⅰ,0.2,,0.7,0.5,0.2,-0.4,0.4
,Ⅱ,-0.1,,0.7,0.5,0.2,-0.4,0.5
,Ⅲ,-0.1,,0.7,0.4,0.2,-0.4,0.5
,Ⅳ,-0.2,,0.7,0.4,0.2,-0.5,0.5
2017,Ⅰ,0.5,,0.7,0.4,0.2,-0.5,0.6
,Ⅱ,0.7,,0.6,0.3,0.2,-0.5,0.6
,Ⅲ,1.4,,0.6,0.3,0.2,-0.5,0.6
,Ⅳ,1.3,,0.6,0.3,0.2,-0.6,0.6
2018,Ⅰ,1.2,,0.6,0.3,0.2,-0.6,0.6
,Ⅱ,1.5,,0.6,0.3,0.2,-0.6,0.7
,Ⅲ,0.9,,0.6,0.3,0.2,-0.6,0.7
,Ⅳ,0.5,,0.5,0.3,0.2,-0.7,0.7
2019,Ⅰ,0.6,,0.6,0.3,0.2,-0.7,0.7
,Ⅱ,0.9,,0.6,0.4,0.2,-0.7,0.6
,Ⅲ,0.9,,0.6,0.4,0.2,-0.7,0.6
,Ⅳ,-2.1,,0.6,0.4,0.2,-0.7,0.6
2020,Ⅰ,-1.7,,0.1,0.5,0.2,-0.6,0.2
,Ⅱ,-9.2,,0.2,0.5,0.2,-0.6,0.1
,Ⅲ,-4.3,,0.2,0.5,0.2,-0.6,0.1
,Ⅳ,-2.7,,0.2,0.5,0.2,-0.6,0.1
2021,Ⅰ,-2.5,,0.2,0.6,0.1,-0.6,0.1
,Ⅱ,-1.9,,0.2,0.6,0.1,-0.6,0.1
,Ⅲ,-2.3,,0.2,0.6,0.1,-0.6,0.1
,Ⅳ,-1.3,,0.2,0.6,0.1,-0.6,0.1
2022,Ⅰ,-1.8,,0.2,0.6,0.1,-0.5,0.1
,Ⅱ,-1.0,,0.2,0.6,0.1,-0.5,0.1
,Ⅲ,-1.4,,0.2,0.6,0.1,-0.5,0.1
,Ⅳ,-1.2,,0.2,0.6,0.1,-0.5,0.1
2023,Ⅰ,0.0,,0.2,0.5,0.1,-0.5,0.1
,Ⅱ,0.2,,0.3,0.5,0.1,-0.5,0.1
,Ⅲ,-0.7,,0.3,0.5,0.1,-0.5,0.1
,Ⅳ,-0.9,,0.3,0.5,0.1,-0.5,0.1
2024,Ⅰ,-1.2,,0.4,0.5,0.1,-0.4,0.1
,Ⅱ,-0.9,,0.4,0.5,0.1,-0.4,0.2
,Ⅲ,-0.4,,0.5,0.5,0.1,-0.4,0.2
,Ⅳ,0.0,※,0.5,0.5,0.1,-0.4,0.2
2025,Ⅰ,-0.1,,0.5,0.5,0.1,-0.3,0.2
,Ⅱ,0.3,,0.6,0.5,0.1,-0.3,0.2
