Based on Quarterly Estimates of GDP for April - June 2025 (Second Preliminary Estimates）,GDP Gap,Potential GDP Growth Rate,Total Factor Productivity (TFP),Capital Input,Hours Worked,Number of Employed
1980:Q2,-1.5,4.2,1.8,1.7,0,0.7
1980:Q3,-0.5,4.2,1.8,1.7,0,0.7
1980:Q4,0.4,4.2,1.8,1.7,0,0.7
1981:Q1,0.3,4.2,1.8,1.7,0,0.7
1981:Q2,0.2,4.2,1.7,1.7,0,0.7
1981:Q3,-0.4,4.2,1.7,1.7,0,0.7
1981:Q4,-0.9,4.1,1.7,1.7,0,0.7
1982:Q1,-0.6,4.1,1.7,1.7,0,0.7
1982:Q2,-0.9,4.1,1.7,1.7,0,0.7
1982:Q3,-1.5,4.1,1.7,1.7,0,0.7
1982:Q4,-1.1,4.1,1.7,1.7,0,0.7
1983:Q1,-1.4,4.1,1.7,1.7,0,0.7
1983:Q2,-1.7,4.1,1.8,1.6,0,0.7
1983:Q3,-1.4,4.2,1.8,1.6,0,0.7
1983:Q4,-1.7,4.2,1.8,1.6,0,0.7
1984:Q1,-1.8,4.2,1.8,1.6,0,0.7
1984:Q2,-0.7,4.2,1.8,1.7,0,0.6
1984:Q3,-1,4.2,1.9,1.7,0,0.6
1984:Q4,-1.7,4.3,1.9,1.7,0,0.6
1985:Q1,-1.4,4.3,1.9,1.7,0,0.6
1985:Q2,-0.6,4.3,1.9,1.7,0,0.6
1985:Q3,-0.2,4.3,1.9,1.7,0,0.6
1985:Q4,0.3,4.3,1.9,1.7,0,0.6
1986:Q1,-0.7,4.3,1.9,1.8,-0.1,0.7
1986:Q2,-1.5,4.4,1.9,1.8,-0.1,0.7
1986:Q3,-1.8,4.4,1.9,1.8,-0.1,0.7
1986:Q4,-1.8,4.4,1.9,1.9,-0.1,0.7
1987:Q1,-2.5,4.4,1.9,1.9,-0.2,0.7
1987:Q2,-1.9,4.4,1.9,1.9,-0.2,0.7
1987:Q3,-1.1,4.4,1.9,2,-0.2,0.8
1987:Q4,0.3,4.4,1.9,2,-0.3,0.8
1988:Q1,0.7,4.4,1.9,2,-0.3,0.8
1988:Q2,0.4,4.4,1.9,2.1,-0.4,0.8
1988:Q3,1.2,4.3,1.8,2.1,-0.5,0.8
1988:Q4,1.2,4.3,1.8,2.1,-0.5,0.9
1989:Q1,2.6,4.2,1.8,2.2,-0.6,0.9
1989:Q2,0.3,4.1,1.8,2.2,-0.7,0.9
1989:Q3,0.9,4,1.7,2.2,-0.7,0.9
1989:Q4,2.6,3.9,1.7,2.2,-0.8,0.9
1990:Q1,1.1,3.8,1.6,2.2,-0.9,0.9
1990:Q2,2.7,3.7,1.6,2.2,-0.9,0.9
1990:Q3,3.8,3.6,1.6,2.1,-1,0.9
1990:Q4,2.9,3.4,1.5,2.1,-1,0.8
1991:Q1,3.2,3.3,1.5,2,-1,0.8
1991:Q2,3.3,3.1,1.4,2,-1.1,0.8
1991:Q3,2.5,3,1.4,1.9,-1.1,0.8
1991:Q4,2.6,2.8,1.3,1.9,-1.1,0.7
1992:Q1,1.8,2.7,1.3,1.8,-1.1,0.7
1992:Q2,1.4,2.5,1.3,1.7,-1,0.6
1992:Q3,1.2,2.4,1.2,1.6,-1,0.6
1992:Q4,0,2.3,1.2,1.5,-1,0.6
1993:Q1,0,2.2,1.1,1.5,-0.9,0.5
1993:Q2,-1.4,2.1,1.1,1.4,-0.9,0.5
1993:Q3,-2.3,2,1.1,1.3,-0.8,0.5
1993:Q4,-2.4,1.9,1.1,1.2,-0.8,0.4
1994:Q1,-1.7,1.9,1.1,1.2,-0.7,0.4
1994:Q2,-2.7,1.8,1,1.1,-0.7,0.4
1994:Q3,-2,1.8,1,1,-0.6,0.4
1994:Q4,-2.8,1.7,1,1,-0.6,0.3
1995:Q1,-2.1,1.7,1,1,-0.5,0.3
1995:Q2,-1.6,1.6,0.9,0.9,-0.5,0.3
1995:Q3,-0.8,1.6,0.9,0.9,-0.5,0.3
1995:Q4,-1,1.5,0.9,0.9,-0.5,0.3
1996:Q1,-0.5,1.5,0.8,0.8,-0.4,0.3
1996:Q2,0.4,1.4,0.8,0.8,-0.4,0.2
1996:Q3,0.2,1.3,0.8,0.8,-0.4,0.2
1996:Q4,1,1.3,0.7,0.8,-0.4,0.2
1997:Q1,0.9,1.2,0.7,0.8,-0.4,0.2
1997:Q2,-0.1,1.1,0.7,0.7,-0.4,0.2
1997:Q3,-0.2,1.1,0.7,0.7,-0.4,0.1
1997:Q4,-0.4,1,0.6,0.7,-0.4,0.1
1998:Q1,-1.9,1,0.7,0.7,-0.4,0.1
1998:Q2,-2.5,0.9,0.7,0.7,-0.4,0
1998:Q3,-2.5,0.9,0.7,0.6,-0.4,0
1998:Q4,-2,0.9,0.7,0.6,-0.4,0
1999:Q1,-3.6,0.9,0.8,0.6,-0.4,-0.1
1999:Q2,-3.4,0.9,0.8,0.6,-0.4,-0.1
1999:Q3,-3.1,0.9,0.8,0.5,-0.4,-0.1
1999:Q4,-3.3,0.9,0.9,0.5,-0.3,-0.2
2000:Q1,-1.8,0.9,0.9,0.5,-0.3,-0.2
2000:Q2,-1.6,0.9,1,0.5,-0.3,-0.2
2000:Q3,-1.8,0.9,1,0.5,-0.3,-0.2
2000:Q4,-1.1,0.9,1,0.4,-0.3,-0.2
2001:Q1,-0.6,0.9,1.1,0.4,-0.3,-0.3
2001:Q2,-1.6,0.9,1.1,0.4,-0.3,-0.3
2001:Q3,-2.8,0.9,1.1,0.4,-0.3,-0.3
2001:Q4,-3.4,0.9,1.1,0.3,-0.3,-0.3
2002:Q1,-3.5,0.9,1.1,0.3,-0.3,-0.3
2002:Q2,-2.9,1,1.2,0.3,-0.2,-0.3
2002:Q3,-2.8,1,1.2,0.3,-0.2,-0.3
2002:Q4,-2.8,1,1.1,0.3,-0.2,-0.2
2003:Q1,-3,1,1.1,0.3,-0.2,-0.2
2003:Q2,-2.6,1,1.1,0.3,-0.2,-0.2
2003:Q3,-2.5,1,1.1,0.3,-0.2,-0.2
2003:Q4,-1.7,1,1,0.3,-0.2,-0.2
2004:Q1,-1.2,0.9,1,0.3,-0.2,-0.2
2004:Q2,-1.4,0.9,1,0.3,-0.2,-0.1
2004:Q3,-1,0.9,0.9,0.3,-0.2,-0.1
2004:Q4,-1.4,0.8,0.9,0.2,-0.2,-0.1
2005:Q1,-1.1,0.8,0.8,0.2,-0.2,-0.1
2005:Q2,-0.5,0.7,0.8,0.2,-0.2,-0.1
2005:Q3,0.3,0.7,0.7,0.2,-0.2,0
2005:Q4,0.4,0.6,0.7,0.2,-0.3,0
2006:Q1,0.4,0.6,0.6,0.2,-0.3,0
2006:Q2,0.4,0.5,0.6,0.2,-0.3,0
2006:Q3,0.1,0.4,0.6,0.2,-0.3,0
2006:Q4,1.3,0.4,0.6,0.2,-0.4,0
2007:Q1,1.9,0.3,0.5,0.2,-0.4,0
2007:Q2,1.9,0.2,0.5,0.2,-0.4,0
2007:Q3,1.3,0.2,0.5,0.1,-0.4,0
2007:Q4,1.7,0.1,0.5,0.1,-0.4,-0.1
2008:Q1,2.1,0.1,0.5,0.1,-0.4,-0.1
2008:Q2,1.4,0.1,0.6,0,-0.5,-0.1
2008:Q3,0.2,0.1,0.6,0,-0.4,-0.1
2008:Q4,-2.3,0.1,0.6,0,-0.4,-0.1
2009:Q1,-7,0.1,0.7,-0.1,-0.4,-0.1
2009:Q2,-5.2,0.1,0.7,-0.1,-0.4,-0.1
2009:Q3,-5.3,0.2,0.8,-0.1,-0.3,-0.1
2009:Q4,-4.2,0.2,0.8,-0.2,-0.3,-0.2
2010:Q1,-3.3,0.3,0.9,-0.2,-0.3,-0.2
2010:Q2,-2.2,0.3,0.9,-0.2,-0.2,-0.2
2010:Q3,-0.5,0.4,1,-0.2,-0.2,-0.2
2010:Q4,-1.4,0.4,1,-0.2,-0.2,-0.2
2011:Q1,-2.6,0.5,1,-0.2,-0.2,-0.2
2011:Q2,-3.5,0.5,1,-0.2,-0.2,-0.1
2011:Q3,-1.3,0.5,1.1,-0.2,-0.1,-0.1
2011:Q4,-1.6,0.6,1.1,-0.2,-0.1,-0.1
2012:Q1,-0.4,0.6,1.1,-0.2,-0.1,-0.1
2012:Q2,-1.5,0.7,1.1,-0.2,-0.1,-0.1
2012:Q3,-2,0.7,1,-0.2,-0.1,0
2012:Q4,-2.3,0.7,1,-0.1,-0.2,0
2013:Q1,-1.1,0.7,1,-0.1,-0.2,0
2013:Q2,-0.4,0.8,1,-0.1,-0.2,0.1
2013:Q3,0.4,0.8,0.9,-0.1,-0.2,0.1
2013:Q4,0.1,0.8,0.9,0,-0.2,0.1
2014:Q1,0.7,0.8,0.9,0,-0.2,0.2
2014:Q2,-1.3,0.8,0.8,0,-0.2,0.2
2014:Q3,-1.4,0.8,0.8,0,-0.2,0.2
2014:Q4,-1.2,0.8,0.7,0.1,-0.3,0.3
2015:Q1,0.1,0.8,0.7,0.1,-0.3,0.3
2015:Q2,0.1,0.8,0.6,0.1,-0.3,0.3
2015:Q3,0,0.8,0.6,0.1,-0.3,0.4
2015:Q4,-0.4,0.8,0.6,0.2,-0.4,0.4
2016:Q1,0.2,0.7,0.5,0.2,-0.4,0.4
2016:Q2,-0.1,0.7,0.5,0.2,-0.4,0.5
2016:Q3,-0.1,0.7,0.4,0.2,-0.4,0.5
2016:Q4,-0.2,0.7,0.4,0.2,-0.5,0.5
2017:Q1,0.5,0.7,0.4,0.2,-0.5,0.6
2017:Q2,0.7,0.6,0.3,0.2,-0.5,0.6
2017:Q3,1.4,0.6,0.3,0.2,-0.5,0.6
2017:Q4,1.3,0.6,0.3,0.2,-0.6,0.6
2018:Q1,1.2,0.6,0.3,0.2,-0.6,0.6
2018:Q2,1.5,0.6,0.3,0.2,-0.6,0.7
2018:Q3,0.9,0.6,0.3,0.2,-0.6,0.7
2018:Q4,0.5,0.5,0.3,0.2,-0.7,0.7
2019:Q1,0.6,0.6,0.3,0.2,-0.7,0.7
2019:Q2,0.9,0.6,0.4,0.2,-0.7,0.6
2019:Q3,0.9,0.6,0.4,0.2,-0.7,0.6
2019:Q4,-2.1,0.6,0.4,0.2,-0.7,0.6
2020:Q1,-1.7,0.1,0.5,0.2,-0.6,0.2
2020:Q2,-9.2,0.2,0.5,0.2,-0.6,0.1
2020:Q3,-4.3,0.2,0.5,0.2,-0.6,0.1
2020:Q4,-2.7,0.2,0.5,0.2,-0.6,0.1
2021:Q1,-2.5,0.2,0.6,0.1,-0.6,0.1
2021:Q2,-1.9,0.2,0.6,0.1,-0.6,0.1
2021:Q3,-2.3,0.2,0.6,0.1,-0.6,0.1
2021:Q4,-1.3,0.2,0.6,0.1,-0.6,0.1
2022:Q1,-1.8,0.2,0.6,0.1,-0.5,0.1
2022:Q2,-1,0.2,0.6,0.1,-0.5,0.1
2022:Q3,-1.4,0.2,0.6,0.1,-0.5,0.1
2022:Q4,-1.2,0.2,0.6,0.1,-0.5,0.1
2023:Q1,0,0.2,0.5,0.1,-0.5,0.1
2023:Q2,0.2,0.3,0.5,0.1,-0.5,0.1
2023:Q3,-0.7,0.3,0.5,0.1,-0.5,0.1
2023:Q4,-0.9,0.3,0.5,0.1,-0.5,0.1
2024:Q1,-1.2,0.4,0.5,0.1,-0.4,0.1
2024:Q2,-0.9,0.4,0.5,0.1,-0.4,0.2
2024:Q3,-0.4,0.5,0.5,0.1,-0.4,0.2
2024:Q4,0,0.5,0.5,0.1,-0.4,0.2
2025:Q1,-0.1,0.5,0.5,0.1,-0.3,0.2
2025:Q2,0.3,0.6,0.5,0.1,-0.3,0.2
